date,open,high,low,close,adj_close,volume
2018-12-31,108.34607696533203,109.32122039794922,107.4760971069336,108.67112731933594,93.81028747558594,5212009
2019-01-02,107.0841293334961,110.8795394897461,106.77820587158203,110.14340209960938,95.08123016357422,4434935
2019-01-03,109.4933090209961,109.82791900634766,107.73422241210938,107.94454956054688,93.18305969238281,4546648
2019-01-04,109.85659790039062,112.32313537597656,109.40726470947266,112.16061401367188,96.82260131835938,4683779
2019-01-07,112.33269500732422,113.60420989990234,111.53919982910156,112.95410919189453,97.50758361816406,3923755
2019-01-08,114.397705078125,115.26768493652344,113.74761199951172,114.56022644042969,98.89405059814453,4982726
2019-01-09,115.59273529052734,116.06118774414062,114.59847259521484,115.38240814208984,99.60381317138672,3800850
2019-01-10,114.79923248291016,116.5009536743164,114.6749496459961,116.43403625488281,100.5116195678711,4089860
2019-01-11,116.23326873779297,116.2715072631836,114.91395568847656,116.11854553222656,100.23926544189453,3893630
2019-01-14,115.2103271484375,115.34416961669922,114.4933090209961,115.0956039428711,99.3562240600586,5469220
2019-01-15,115.64053344726562,116.56787872314453,115.5066909790039,116.37667083740234,100.46209716796875,3668845
2019-01-16,116.23326873779297,116.63479614257812,115.51625061035156,116.2715072631836,100.37132263183594,4017791
2019-01-17,115.25812530517578,117.02677154541016,115.24856567382812,116.81644439697266,100.84172821044922,5261275
2019-01-18,117.84894561767578,119.23518371582031,117.3135757446289,118.37476348876953,102.18694305419922,6284891
2019-01-22,117.87763214111328,118.35564422607422,116.19503021240234,117.13192749023438,101.11407470703125,10514810
2019-01-23,125.59273529052734,129.06309509277344,124.57935333251953,127.04589080810547,109.67229461669922,23078630
2019-01-24,126.79732513427734,127.35181427001953,125.65009307861328,126.70172119140625,109.37519836425781,6613753
2019-01-25,127.02677154541016,128.52772521972656,126.60611724853516,128.07839965820312,110.5635986328125,5969940
2019-01-28,127.24665069580078,128.88145446777344,126.74951934814453,128.36520385742188,110.81119537353516,5604154
2019-01-29,128.3843231201172,129.45506286621094,127.72466278076172,128.4225616455078,110.86070251464844,5268807
2019-01-30,128.10707092285156,129.09178161621094,127.39006042480469,128.47036743164062,110.90196990966797,4707941
2019-01-31,128.53729248046875,128.79541015625,127.85850524902344,128.50860595703125,110.93498992919922,5108664
2019-02-01,129.034423828125,129.25430297851562,127.48565673828125,128.2026824951172,110.6708984375,3981076
2019-02-04,128.12619018554688,129.25430297851562,127.14149475097656,129.24473571777344,111.5704574584961,4149064
